age,income,credit_score,loan_amount,years_employed,education,employment_status,marital_status,housing_type,application_date,target
44.0,41150.32,798.0,1490.05,17.5,PhD,Self-Employed,Divorced,Own,2024-11-16,0
48.0,36591.99,577.0,137.93,16.5,High School,Unemployed,Divorced,Mortgage,2024-10-28,1
24.0,31666.43,727.0,23350.13,5.7,Master,Unemployed,Married,Rent,2025-05-07,0
43.0,46682.04,731.0,21682.27,18.2,Master,Employed,Married,Own,2024-06-02,1
41.0,28905.73,796.0,5358.27,2.0,Bachelor,Self-Employed,Single,Rent,2024-11-09,1
63.0,38901.89,340.0,5184.69,27.9,High School,Employed,Divorced,Mortgage,2024-06-17,1
54.0,33472.18,448.0,30554.14,1.3,Master,Employed,Married,Own,2023-02-25,1
41.0,46906.42,485.0,5622.99,8.7,Bachelor,Employed,Single,Own,2023-05-01,1
37.0,39568.68,848.0,7583.84,27.0,High School,Employed,Married,Rent,2024-06-14,1
47.0,88088.87,527.0,1988.27,23.3,PhD,Self-Employed,Divorced,Rent,2023-01-26,1
37.0,,,16334.9,6.3,Master,Employed,Divorced,Own,2023-03-14,0
32.0,47079.95,522.0,6142.68,28.0,PhD,Employed,Married,Other,2023-02-14,0
25.0,63588.31,502.0,3806.01,22.1,Bachelor,Employed,Divorced,Mortgage,2023-09-07,1
35.0,70352.85,741.0,6920.11,22.2,Bachelor,Employed,Divorced,Rent,2024-02-09,1
54.0,42202.2,453.0,35144.34,25.4,Master,Employed,Married,Rent,2025-04-27,0
27.0,43234.92,390.0,19924.67,20.9,Master,Employed,Married,Mortgage,2024-12-04,1
52.0,60684.07,417.0,15896.72,18.8,Master,Employed,Divorced,Mortgage,2025-07-07,1
49.0,16327.96,417.0,1888.5,13.4,Bachelor,Retired,Married,Mortgage,2023-07-18,1
19.0,41860.93,755.0,6525.05,27.1,Master,Retired,Married,Mortgage,2024-06-26,1
52.0,71823.92,546.0,16996.49,25.3,Bachelor,Employed,Married,Other,2023-12-22,0
23.0,29859.4,596.0,7460.34,37.8,Bachelor,Employed,Widowed,Rent,2023-11-20,0
43.0,26846.93,544.0,16751.16,39.4,Bachelor,Retired,Married,Mortgage,2024-10-11,1
54.0,41806.1,612.0,26364.3,37.4,High School,Employed,Single,Rent,2025-07-05,0
56.0,53691.56,462.0,7641.93,3.5,Master,Employed,Married,Own,2023-08-24,0
72.0,35944.67,380.0,2322.38,9.1,High School,Employed,Married,Rent,2024-08-03,0
75.0,23885.27,818.0,10136.13,2.5,High School,Employed,Single,Own,2025-08-07,1
55.0,54174.94,720.0,3324.02,6.9,Bachelor,Employed,Divorced,Rent,2025-08-01,0
62.0,,787.0,10401.56,27.1,Master,Employed,Single,Mortgage,2025-06-26,1
49.0,36492.01,367.0,769.27,25.8,High School,Employed,Single,Mortgage,2023-10-27,1
56.0,64956.73,587.0,3710.64,1.1,High School,Self-Employed,Single,Rent,2023-03-02,1
37.0,74311.52,537.0,1245.05,15.1,High School,Unemployed,Divorced,Mortgage,2023-11-24,1
71.0,48968.14,840.0,8404.06,27.8,Bachelor,Unemployed,Single,Other,2025-07-20,1
40.0,63204.44,329.0,19769.84,17.8,High School,Employed,Married,Other,2024-08-24,1
50.0,62027.86,564.0,2636.84,30.7,Bachelor,Retired,Single,Own,2024-03-23,1
27.0,44592.29,313.0,10672.74,32.2,Master,Retired,Married,Rent,2025-04-09,0
65.0,,,12270.29,31.9,Master,Employed,Married,Own,2024-10-12,0
43.0,51526.46,728.0,8879.58,8.7,Bachelor,Self-Employed,Married,Mortgage,2024-08-21,0
40.0,56955.86,567.0,13589.97,5.9,High School,Retired,Married,Own,2024-06-28,1
58.0,29037.23,487.0,2480.86,17.4,High School,Employed,Married,Own,2025-02-23,0
28.0,64373.81,357.0,11704.7,24.1,Bachelor,Self-Employed,Married,Mortgage,2023-11-02,0
33.0,52496.23,803.0,4672.23,3.7,Master,Employed,Single,Mortgage,2023-11-15,1
54.0,65953.49,841.0,1368.94,5.1,Bachelor,Retired,Single,Other,2025-01-30,0
57.0,56141.2,754.0,5307.98,12.3,Bachelor,Employed,Married,Own,2024-05-09,0
58.0,18138.53,744.0,27332.82,39.0,High School,Self-Employed,Single,Own,2023-09-23,0
77.0,72191.51,712.0,1603.78,1.9,Master,Employed,Married,Own,2023-04-21,1
50.0,25916.85,572.0,6335.31,19.6,Bachelor,Self-Employed,Married,Own,2024-11-24,0
29.0,48813.82,433.0,5422.86,6.7,Master,Employed,Married,Rent,2025-08-02,1
74.0,40629.4,681.0,2274.48,34.7,High School,Self-Employed,Married,Rent,2024-06-11,1
59.0,51647.79,612.0,40121.58,13.9,High School,Self-Employed,Married,Rent,2023-09-14,1
76.0,36937.03,381.0,2069.19,33.1,Master,Employed,Single,Rent,2023-09-18,1
74.0,43815.3,785.0,3065.31,39.8,High School,Unemployed,Married,Mortgage,2024-09-26,1
60.0,58546.91,745.0,8268.05,36.5,Bachelor,Employed,Married,Rent,2025-04-03,0
76.0,47421.3,723.0,17515.09,19.1,Bachelor,Employed,Married,Rent,2024-03-05,0
33.0,42654.51,624.0,13776.86,0.3,High School,Employed,Married,Own,2024-09-22,0
33.0,38045.73,489.0,21625.13,30.3,Bachelor,Self-Employed,Married,Own,2024-01-16,0
39.0,58517.8,725.0,25844.32,23.7,PhD,Employed,Married,Rent,2024-03-09,0
28.0,57589.1,446.0,818.15,9.0,PhD,Retired,Married,Own,2025-01-04,1
61.0,,692.0,6161.91,15.2,,Employed,Single,Own,2023-05-18,0
77.0,48224.03,430.0,5769.39,15.9,High School,Employed,Married,Own,2023-12-24,1
53.0,61278.54,532.0,1362.62,11.9,Bachelor,Self-Employed,Married,Rent,2024-06-12,0
70.0,69527.74,560.0,6587.47,0.3,High School,Employed,Single,Rent,2023-08-10,1
41.0,67573.71,563.0,9239.19,9.7,High School,Employed,Married,Mortgage,2025-01-26,0
43.0,63789.54,406.0,12474.99,20.1,Master,Unemployed,Single,Rent,2024-08-19,1
32.0,52313.71,711.0,4691.73,14.4,PhD,Self-Employed,Married,Mortgage,2024-07-13,0
77.0,51994.04,776.0,2281.87,21.9,High School,Employed,Married,Rent,2023-12-30,0
75.0,60151.55,617.0,6255.92,21.0,High School,Retired,Single,Mortgage,2024-06-09,1
53.0,60771.48,436.0,4225.16,37.1,Bachelor,Self-Employed,Single,Other,2023-07-28,0
78.0,19821.23,759.0,9134.08,22.1,PhD,Retired,Single,Own,2024-02-16,0
36.0,64252.68,686.0,9813.75,26.1,High School,Employed,Single,Mortgage,2023-12-01,1
49.0,,804.0,532.9,16.8,,Employed,Married,Mortgage,2023-07-30,1
67.0,,,3960.76,19.3,Bachelor,Employed,Widowed,Rent,2023-12-17,1
78.0,79463.79,338.0,2927.9,36.5,High School,Employed,Single,Own,2023-03-20,1
38.0,57878.18,690.0,6564.94,28.0,High School,Unemployed,Married,Own,2023-01-30,1
73.0,37570.13,816.0,1235.14,3.3,Master,Self-Employed,Single,Rent,2023-10-08,0
67.0,62690.2,656.0,4955.35,4.7,Master,Employed,Widowed,Own,2024-08-08,0
35.0,64693.89,602.0,1337.83,7.3,High School,Retired,Widowed,Mortgage,2025-01-22,1
66.0,51939.6,713.0,87.44,6.6,High School,Unemployed,Single,Other,2025-02-19,1
54.0,52235.08,385.0,5980.49,30.5,High School,Employed,Divorced,Own,2023-10-17,1
54.0,30633.13,572.0,13157.42,13.0,Bachelor,Employed,Married,Mortgage,2023-06-15,1
18.0,47421.02,494.0,8162.81,6.6,Master,Employed,Single,Mortgage,2024-08-28,1
56.0,37625.47,751.0,7380.46,3.9,Master,Self-Employed,Married,Mortgage,2025-05-24,0
46.0,44083.67,716.0,625.19,17.4,Bachelor,Self-Employed,Single,Rent,2024-12-21,0
31.0,57561.6,572.0,14421.41,5.5,Master,Employed,Married,Own,2023-03-07,0
68.0,24726.92,311.0,12973.65,12.6,Master,Employed,Married,Mortgage,2023-05-22,0
19.0,-3523.08,722.0,2299.18,21.8,High School,Self-Employed,Married,Mortgage,2023-10-03,1
24.0,40355.03,329.0,1315.14,6.1,Master,Employed,Married,Mortgage,2025-04-15,1
79.0,15727.71,469.0,16162.01,27.6,Bachelor,Self-Employed,Married,Mortgage,2024-10-17,0
70.0,86807.63,793.0,6721.23,11.8,Bachelor,Employed,Married,Own,2024-04-10,1
75.0,77175.38,788.0,172.99,39.5,Master,Employed,Married,Own,2024-11-01,0
50.0,35360.3,567.0,8293.33,38.6,High School,Retired,Divorced,Rent,2023-11-16,0
65.0,20712.7,753.0,356.35,25.8,Master,Employed,Married,Mortgage,2024-02-03,0
73.0,53408.92,325.0,1554.17,20.9,Master,Employed,Divorced,Own,2023-11-03,0
76.0,61219.71,746.0,9047.57,10.1,Master,Unemployed,Married,Rent,2023-11-04,1
26.0,57541.99,459.0,6365.16,24.8,Master,Employed,Married,Mortgage,2025-04-08,0
20.0,59342.0,685.0,14797.31,26.4,Master,Employed,Married,Mortgage,2023-11-30,1
68.0,68088.73,468.0,142.92,31.6,Master,Employed,Single,Rent,2023-02-19,0
35.0,56482.89,309.0,28204.22,20.5,Bachelor,Retired,Married,Other,2025-04-05,0
46.0,67302.98,583.0,10295.12,11.8,Bachelor,Employed,Married,Mortgage,2023-01-03,0
75.0,22298.41,402.0,5987.08,34.8,PhD,Self-Employed,Married,Mortgage,2024-07-02,1
48.0,45151.02,559.0,880.68,26.9,Bachelor,Employed,Widowed,Mortgage,2023-12-19,0
71.0,76613.19,551.0,1317.05,19.1,Bachelor,Unemployed,Divorced,Rent,2025-07-01,1
53.0,62816.91,827.0,10595.36,19.0,PhD,Employed,Single,Own,2025-08-09,0
28.0,63670.64,315.0,2416.49,1.1,PhD,Employed,Married,Other,2023-12-13,1
78.0,19821.23,759.0,9134.08,22.1,PhD,Retired,Single,Own,2024-02-16,0
28.0,41483.67,373.0,14488.52,1.6,Master,Self-Employed,Single,Rent,2025-04-04,1
57.0,74282.03,567.0,12490.95,22.7,High School,Retired,Married,Rent,2024-08-04,0
39.0,53605.27,741.0,52945.98,3.3,High School,Employed,Married,Mortgage,2023-02-03,0
29.0,62039.78,839.0,11219.29,22.4,High School,Retired,Married,Mortgage,2023-02-01,1
75.0,39644.01,707.0,1026.02,6.5,Bachelor,Employed,Married,Mortgage,2023-08-20,1
56.0,66638.9,318.0,2436.36,16.6,High School,Employed,Married,Mortgage,2025-01-24,1
68.0,,482.0,29800.29,29.0,,Retired,Married,Mortgage,2023-07-12,0
56.0,46276.06,392.0,9450.42,24.6,Master,Employed,Married,Rent,2024-05-29,0
32.0,44374.84,499.0,16599.96,12.0,Master,Employed,Married,Mortgage,2023-01-04,1
62.0,11406.03,698.0,16271.85,10.6,Bachelor,Employed,Married,Mortgage,2023-07-24,1
32.0,31625.97,467.0,3297.3,10.2,High School,Employed,Married,Mortgage,2024-06-23,1
22.0,53459.61,358.0,32482.9,6.8,High School,Employed,Married,Other,2024-10-24,0
76.0,,661.0,10427.51,2.9,High School,Unemployed,Married,Rent,2025-09-15,1
40.0,74704.24,322.0,31308.67,37.6,Master,Self-Employed,Married,Mortgage,2023-04-20,0
26.0,72137.8,487.0,20298.11,0.6,Master,Employed,Single,Mortgage,2024-08-25,0
61.0,45895.85,521.0,16516.96,14.3,Master,Employed,Married,Rent,2023-03-19,0
53.0,61995.37,601.0,1670.08,31.3,High School,Employed,Divorced,Own,2023-03-26,1
24.0,57779.59,662.0,20728.29,4.4,High School,Self-Employed,Married,Rent,2024-06-10,1
31.0,52671.93,448.0,4.43,23.1,Bachelor,Self-Employed,Married,Mortgage,2023-03-24,1
50.0,84149.77,791.0,27379.49,21.9,High School,Self-Employed,Married,Rent,2023-09-12,1
30.0,,848.0,11065.7,28.6,,Employed,Married,Rent,2025-02-03,1
29.0,59613.56,580.0,12749.88,12.8,Bachelor,Employed,Married,Rent,2024-03-04,1
77.0,43248.48,824.0,19172.0,37.3,Master,Employed,Married,Other,2025-07-04,0
30.0,44016.61,703.0,11949.32,7.2,Master,Employed,Single,Rent,2024-06-07,0
52.0,24368.49,624.0,13494.85,20.9,High School,Employed,Single,Mortgage,2024-04-12,1
69.0,64284.4,662.0,13326.74,13.2,PhD,Employed,Married,Rent,2024-10-06,1
25.0,51647.9,472.0,4114.93,17.6,Master,Unemployed,Widowed,Own,2023-01-06,0
63.0,44608.44,442.0,7657.73,5.9,High School,Self-Employed,Married,Mortgage,2024-02-10,0
77.0,52544.79,603.0,19875.73,10.9,High School,Employed,Single,Other,2024-04-13,0
43.0,42668.45,735.0,48851.87,13.3,Master,Employed,Married,Mortgage,2023-04-08,1
31.0,38006.92,686.0,25557.69,13.0,PhD,Self-Employed,Divorced,Own,2025-07-15,0
43.0,68113.88,495.0,2602.9,23.7,PhD,Employed,Widowed,Mortgage,2023-12-26,1
20.0,51657.36,832.0,13930.22,13.1,Bachelor,Employed,Married,Mortgage,2025-05-26,1
69.0,28494.37,724.0,5630.67,13.8,Bachelor,Unemployed,Single,Own,2023-09-24,1
25.0,10291.21,849.0,25773.76,39.1,Master,Employed,Married,Rent,2024-02-27,0
47.0,51448.18,731.0,5294.88,19.0,Bachelor,Self-Employed,Divorced,Other,2024-04-07,1
68.0,17691.81,403.0,6815.1,29.6,High School,Employed,Married,Own,2024-11-26,0
30.0,44158.73,770.0,41894.74,19.1,High School,Self-Employed,Single,Mortgage,2025-08-31,1
20.0,80253.31,431.0,11362.47,27.0,Master,Self-Employed,Married,Mortgage,2024-05-08,1
64.0,57448.67,435.0,18304.57,21.5,Master,Retired,Married,Other,2023-04-29,1
65.0,48472.76,378.0,47910.27,15.1,Bachelor,Unemployed,Married,Mortgage,2025-08-29,0
44.0,39912.98,447.0,16950.55,8.7,Bachelor,Unemployed,Single,Mortgage,2023-09-08,0
56.0,41579.5,559.0,2490.82,7.3,Bachelor,Employed,Married,Rent,2023-12-09,0
75.0,52899.17,386.0,11711.82,34.5,High School,Employed,Married,Own,2023-01-10,1
69.0,43905.88,775.0,15174.6,2.1,Bachelor,Employed,Divorced,Other,2023-07-16,0
74.0,44025.19,779.0,24730.44,13.2,Bachelor,Employed,Divorced,Mortgage,2025-01-11,0
52.0,50624.98,829.0,22503.99,5.6,Bachelor,Employed,Divorced,Rent,2023-03-23,0
25.0,41022.6,354.0,423.85,16.6,High School,Self-Employed,Divorced,Other,2025-08-06,0
50.0,49535.74,642.0,8726.18,39.9,High School,Employed,Married,Own,2024-04-24,0
46.0,55628.77,726.0,17239.96,38.1,Bachelor,Employed,Single,Own,2024-09-17,1
74.0,62111.26,481.0,6582.91,25.1,Master,Employed,Married,Mortgage,2023-08-28,1
18.0,52148.23,542.0,7935.97,39.4,High School,Employed,Married,Other,2023-10-20,1
24.0,39796.08,799.0,1533.5,0.4,High School,Unemployed,Married,Own,2023-07-31,0
55.0,41739.09,562.0,27360.19,12.3,Master,Employed,Married,Mortgage,2025-06-19,1
74.0,56484.63,526.0,11107.12,1.0,Bachelor,Self-Employed,Single,Rent,2023-12-28,1
25.0,80306.03,482.0,17181.3,24.8,Bachelor,Employed,Single,Rent,2024-06-16,1
37.0,33509.66,663.0,1328.26,20.5,Bachelor,Employed,Married,Own,2023-08-16,1
48.0,59469.37,700.0,27951.61,32.5,Bachelor,Self-Employed,Married,Other,2025-05-14,1
69.0,58115.03,775.0,12068.69,14.5,Bachelor,Employed,Single,Mortgage,2023-12-29,1
62.0,62143.09,387.0,19289.78,32.5,Bachelor,Retired,Married,Mortgage,2025-05-02,1
